-50,201.61
-49,3558.5
-48,162.07
-47,71.274
-46,102.98
-45,101.56
-44,13.478
-43,8.7662
-42,37.201
-41,2.1242
-40,108.93
-39,2.1935
-38,2.4587
-37,29.094
-36,1.5504
-35,37.21
-34,0.95164
-33,0.84747
-32,0.75374
-31,3.1555
-30,8.6883
-29,0.53408
-28,1.5387
-27,0.42514
-26,0.51146
-25,12.115
-24,0.30077
-23,0.45573
-22,0.23888
-21,0.51189
-20,1.5804
-19,11.161
-18,11.781
-17,2.8075
-16,2.0323
-15,3.9906
-14,5.3085
-13,0.99097
-12,0.82901
-11,1.8616
-10,21.209
-9,7.2054
-8,14.411
-7,3.8531
-6,3.2051
-5,10.78
-4,0.17085
-3,2.4895
-2,0.22842
-1,0.026509
0,0.047253
1,0.019613
2,0.015089
3,0.013439
4,0.011958
5,0.010658
6,0.009507
7,0.0084724
8,0.007543
9,0.0067377
10,0.0060039
11,0.005356
12,0.0047674
13,0.0042416
14,0.0037761
15,0.0033648
16,0.0030066
17,0.0026797
18,0.0023923
19,0.0021324
20,0.0018975
21,0.0016895
22,0.0015069
23,0.0013429
24,0.0011959
25,0.0010658
26,0.00094945
27,0.00084672
28,0.00075522
29,0.00067307
30,0.00060007
31,0.00053493
32,0.0004765
33,0.0004249
34,0.00037886
35,0.00033769
36,0.0003009
37,0.00026819
38,0.00023896
39,0.00021308
40,0.00018992
41,0.00016927
42,0.0001508
43,0.00013447
44,0.00011985
45,0.00010679
46,9.519e-05
47,8.4834e-05
48,7.5634e-05
49,6.7418e-05
50,6.0107e-05
