-50,5.9606
-49,5.3223
-48,4.7382
-47,4.2267
-46,3.7623
-45,3.3446
-44,2.9933
-43,2.6686
-42,2.376
-41,2.116
-40,1.8853
-39,1.6836
-38,1.4983
-37,1.3375
-36,1.1913
-35,1.0601
-34,0.94428
-33,0.84315
-32,0.74951
-31,0.67126
-30,0.59772
-29,0.53214
-28,0.47405
-27,0.42243
-26,0.37569
-25,0.33575
-24,0.29841
-23,0.26625
-22,0.2377
-21,0.21161
-20,0.18925
-19,0.1684
-18,0.14957
-17,0.1333
-16,0.11895
-15,0.10596
-14,0.09466
-13,0.084356
-12,0.075415
-11,0.067155
-10,0.059695
-9,0.053157
-8,0.047237
-7,0.042251
-6,0.037625
-5,0.033513
-4,0.029871
-3,0.026676
-2,0.023764
-1,0.02119
0,0.018858
1,0.016808
2,0.015008
3,0.013349
4,0.011888
5,0.010622
6,0.0094436
7,0.0084062
8,0.0075067
9,0.006692
10,0.0059688
11,0.0053195
12,0.004736
13,0.0042242
14,0.0037579
15,0.0033643
16,0.0029788
17,0.0026582
18,0.0023768
19,0.0021186
20,0.0018832
21,0.0016846
22,0.0014977
23,0.0013353
24,0.0011901
25,0.0010597
26,0.00094339
27,0.00084186
28,0.00075135
29,0.00066831
30,0.00059659
31,0.00053234
32,0.00047423
33,0.00042235
34,0.0003757
35,0.00033511
36,0.00029919
37,0.00026586
38,0.00023747
39,0.00021131
40,0.00018895
41,0.00016835
42,0.00014979
43,0.00013365
44,0.00011896
45,0.00010621
46,9.4714e-05
47,8.4422e-05
48,7.5059e-05
49,6.6883e-05
50,5.9557e-05
