0,0,-0.08,0.05236,0.05236,-1.0055e-08,-4.1623e-08,-4.2971e-08,-2.8945e-08,-5.2767e-09,2.7763e-08,4.5871e-08,-3.2591e-08,2.8493e-09,-2.6703e-08,-2.8684e-08,-1.4661e-08
-0.04,-0.04,-0.04,0.05236,0.05236,-5.0249e-09,-4.8552e-08,-4.1437e-08,-2.2407e-08,1.5089e-10,2.3262e-08,4.7132e-08,-3.4043e-08,-1.5731e-09,-1.77e-08,-2.6589e-08,-1.9801e-08
0,-0.04,-0.04,0.05236,0.05236,-1.0085e-08,-4.5742e-08,-3.481e-08,-2.2299e-08,1.2646e-09,2.9741e-08,4.2187e-08,-3.5738e-08,-1.8172e-09,-1.9258e-08,-3.3489e-08,-1.7445e-08
0.04,-0.04,-0.04,0.05236,0.05236,-1.6001e-08,-4.3059e-08,-2.9311e-08,-2.0817e-08,1.2885e-09,3.8973e-08,3.7178e-08,-3.7341e-08,-1.8275e-09,-2.0281e-08,-3.8648e-08,-1.2635e-08
-0.04,0,-0.04,0.05236,0.05236,-5.9189e-09,-5.1636e-08,-4.9266e-08,-2.7104e-08,5.9628e-11,2.0313e-08,4.5349e-08,-2.821e-08,9.6646e-10,-2.0534e-08,-2.5636e-08,-1.3862e-08
0,0,-0.04,0.05236,0.05236,-9.3661e-09,-4.8412e-08,-4.0403e-08,-2.6346e-08,1.358e-09,2.6237e-08,4.0564e-08,-2.9458e-08,1.067e-09,-2.1803e-08,-3.0622e-08,-1.1721e-08
0.04,0,-0.04,0.05236,0.05236,-1.5139e-08,-4.6426e-08,-3.363e-08,-2.5689e-08,1.1284e-09,3.5141e-08,3.5746e-08,-3.0447e-08,1.1652e-09,-2.101e-08,-3.6563e-08,-1.005e-08
-0.04,0.04,-0.04,0.05236,0.05236,-5.5242e-09,-5.3232e-08,-5.5937e-08,-3.4629e-08,4.6402e-10,1.5389e-08,4.1683e-08,-2.4226e-08,3.2266e-09,-2.2084e-08,-2.4888e-08,-1.059e-08
0,0.04,-0.04,0.05236,0.05236,-9.1272e-09,-5.0776e-08,-4.4958e-08,-3.3498e-08,1.7284e-10,2.2094e-08,3.7309e-08,-2.5215e-08,5.722e-09,-2.371e-08,-2.8609e-08,-8.1462e-09
0.04,0.04,-0.04,0.05236,0.05236,-1.3382e-08,-4.8136e-08,-3.7074e-08,-3.1457e-08,5.5868e-10,2.933e-08,3.2216e-08,-2.6161e-08,6.4732e-09,-2.4133e-08,-3.457e-08,-7.4077e-09
0,-0.08,0,0.05236,0.05236,-9.9514e-09,-4.9795e-08,-2.9094e-08,-1.5983e-08,7.0189e-09,3.0254e-08,3.5555e-08,-3.7941e-08,-6.6245e-09,-1.3799e-08,-3.3841e-08,-1.8156e-08
-0.04,-0.04,0,0.05236,0.05236,-4.7597e-09,-5.8858e-08,-3.9982e-08,-2.015e-08,7.6376e-09,2.1919e-08,4.0723e-08,-2.9966e-08,-3.9472e-09,-1.4721e-08,-2.78e-08,-1.4714e-08
0,-0.04,0,0.05236,0.05236,-9.0433e-09,-5.4743e-08,-3.3221e-08,-1.9105e-08,6.8583e-09,2.7592e-08,3.6425e-08,-3.1531e-08,-4.0745e-09,-1.4941e-08,-3.2778e-08,-1.1844e-08
