0,0,-0.08,0.05236,0.05236,1.0643e-08,-2.818e-08,-1.3782e-08,7.1821e-09,3.9876e-08,2.6639e-08,4.6857e-08,1.7163e-08,-1.958e-09
-0.04,-0.04,-0.04,0.05236,0.05236,1.1793e-08,-2.7032e-08,-1.6664e-08,7.3464e-09,3.8891e-08,3.5899e-08,4.6578e-08,7.5237e-09,-1.1661e-08
0,-0.04,-0.04,0.05236,0.05236,1.3122e-08,-2.5401e-08,-1.9873e-08,9.0515e-09,4.2137e-08,3.0162e-08,3.9899e-08,1.3316e-08,-1.2665e-08
0.04,-0.04,-0.04,0.05236,0.05236,1.4198e-08,-2.3641e-08,-2.3255e-08,1.079e-08,4.6145e-08,2.7287e-08,3.5288e-08,2.0165e-08,-1.4074e-08
-0.04,0,-0.04,0.05236,0.05236,1.3096e-08,-3.2534e-08,-1.5718e-08,2.346e-09,4.1809e-08,3.1076e-08,4.7914e-08,7.8627e-09,-6.1867e-09
0,0,-0.04,0.05236,0.05236,1.4813e-08,-2.9904e-08,-1.9172e-08,4.46e-09,4.5763e-08,2.5952e-08,4.1582e-08,1.5042e-08,-5.9622e-09
0.04,0,-0.04,0.05236,0.05236,1.5332e-08,-2.7132e-08,-2.3427e-08,5.5773e-09,5.0574e-08,2.402e-08,3.6165e-08,2.2778e-08,-7.4684e-09
-0.04,0.04,-0.04,0.05236,0.05236,1.5038e-08,-3.9218e-08,-1.4926e-08,7.2847e-10,4.545e-08,2.5191e-08,4.8435e-08,1.008e-08,-1.569e-09
0,0.04,-0.04,0.05236,0.05236,1.7833e-08,-3.4234e-08,-1.8033e-08,1.4999e-09,5.01e-08,2.3002e-08,4.0244e-08,1.8186e-08,-2.1465e-09
0.04,0.04,-0.04,0.05236,0.05236,1.8644e-08,-3.1292e-08,-2.042e-08,2.0137e-09,5.3881e-08,2.0402e-08,3.5432e-08,2.5981e-08,-2.0235e-09
0,-0.08,0,0.05236,0.05236,1.3691e-08,-2.2403e-08,-2.4783e-08,1.0277e-08,4.268e-08,3.5675e-08,3.3724e-08,1.0986e-08,-2.6e-08
